Linux 3.10.0-327.10.1.el7.x86_64 (storage14.cluster) 	02/23/2017 	_x86_64_	(28 CPU)

08:20:51 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
08:44:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:51 PM       en1     17.38      0.75      1.71      0.07      0.00      0.00     16.68
08:44:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:51 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:44:51 PM       ib0      3.37      3.75      0.50      0.68      0.00      0.00      0.00
08:45:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:45:51 PM       en0      0.48      0.00      0.03      0.00      0.00      0.00      0.48
08:45:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:45:51 PM       en1     18.58      0.67      1.80      0.06      0.00      0.00     17.57
08:45:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:45:51 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:45:51 PM       ib0      0.50      0.83      0.05      0.19      0.00      0.00      0.00
08:46:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:46:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:46:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:46:51 PM       en1     17.42      0.53      1.70      0.05      0.00      0.00     16.87
08:46:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:46:51 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:46:51 PM       ib0      0.63      0.88      0.04      0.15      0.00      0.00      0.00
08:47:51 PM       en4      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:47:51 PM       en0      0.50      0.00      0.03      0.00      0.00      0.00      0.50
08:47:51 PM       en3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:47:51 PM       en1     16.68      0.72      1.66      0.07      0.00      0.00     15.58
08:47:51 PM       en2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:47:51 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:47:51 PM       ib0      2.90      2.98      0.43      0.47      0.00      0.00      0.00
